x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107769.766,183243.971,71.323112,39689.08,50.76016742,26.07489416,82.71954231,49.69706852,102.5404983,77.18169312,0.972042571,0.627436962,1.008348071,-0.017688816,1.677678317,-2.484993483
107769.52,183244.091,71.32019446,39689.16,50.46016742,26.07489416,84.11421803,43.7153092,101.1404983,74.78169312,0.962042571,0.627436962,1.006713171,-0.010437641,1.667678317,-2.594993483
107769.292,183244.205,71.25360333,39689.25,48.86267415,22.04560348,84.11421803,43.3153092,99.24049835,72.58169312,0.970332749,0.628496972,1.006713171,-0.030437641,1.637678317,-2.614993483
107769.033,183244.34,71.24362373,39689.33,48.36267415,22.04560348,82.61421803,42.9153092,97.34049835,70.98169312,0.970332749,0.628496972,1.006713171,-0.020437641,1.617678317,-2.584993483
107768.903,183244.408,71.24362373,39689.38,48.36267415,21.74560348,81.11421803,42.9153092,95.54049835,69.88169312,0.970332749,0.628496972,1.006713171,-0.020437641,1.607678317,-2.494993483
107768.835,183244.446,71.23529225,39689.41,47.76267415,21.74560348,81.11421803,42.9153092,94.24049835,69.18169312,0.970332749,0.628496972,1.006713171,-0.020437641,1.607678317,-2.384993483
107768.759,183244.488,71.23529225,39689.44,47.76267415,21.74560348,79.71421803,42.4153092,93.54049835,68.48169312,0.970332749,0.628496972,1.006713171,-0.010437641,1.597678317,-2.264993483
107768.647,183244.551,71.23529225,39689.48,46.86267415,21.14560348,79.71421803,42.4153092,93.44049835,67.78169312,0.970332749,0.628496972,1.006713171,-0.010437641,1.597678317,-2.174993483
107768.438,183244.673,71.22857131,39689.55,46.86267415,22.22406789,78.51421803,39.1153092,93.94049835,66.98169312,0.970332749,0.626814921,0.996713171,0.069562359,1.607678317,-2.104993483
107768.154,183244.844,71.22174335,39689.65,43.86267415,18.74560348,74.41421803,36.3153092,94.44049835,65.88169312,0.960332749,0.638496972,1.006713171,0.099562359,1.597678317,-2.064993483
107767.964,183244.963,71.22174335,39689.74,41.96267415,17.44560348,74.41421803,35.0153092,95.04049835,64.58169312,0.960332749,0.638496972,1.006713171,0.089562359,1.587678317,-2.064993483
107767.69,183245.146,71.21536806,39689.85,41.16267415,16.64560348,73.91421803,33.7153092,95.24049835,63.08169312,0.960332749,0.638496972,1.006713171,0.089562359,1.577678317,-2.094993483
107767.402,183245.346,71.19188378,39689.95,40.56267415,15.84560348,73.11421803,32.5153092,94.74049835,61.58169312,0.960332749,0.638496972,1.006713171,0.079562359,1.577678317,-2.104993483
