x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1
107740.393,183334.398,69.31832244,40892.2,16.33898864,8.181699427,29.1933574,15.5725701,34.568025,23.36346958
107740.535,183334.144,69.31832244,40892.3,16.43853257,8.179533184,29.18952596,15.77192107,34.068025,23.26346958
107740.664,183333.916,69.3265376,40892.39,16.63694391,8.275437123,29.18952596,15.76976663,33.24771096,22.9462201
107740.823,183333.638,69.34570417,40892.5,16.83694391,8.575437123,28.88952596,15.86976663,32.34377393,22.74009333
107740.955,183333.408,69.35167962,40892.6,16.83694391,8.875437123,28.58952596,16.26976663,31.64377393,22.74009333
107741.095,183333.168,69.3596069,40892.69,16.93694391,9.175437123,28.58952596,16.76976663,31.44377393,22.84009333
107741.246,183332.911,69.3596069,40892.8,17.13694391,9.275437123,28.78952596,17.16976663,31.54377393,22.94009333
107741.393,183332.666,69.3596069,40892.9,17.33694391,9.175437123,29.38952596,17.46976663,31.64377393,23.34009333
107741.549,183332.405,69.413,40893.01,17.33694391,9.075437123,29.78952596,17.46976663,31.64377393,23.94009333
107741.617,183332.293,69.413,40893.07,17.33694391,8.775437123,29.78952596,17.46976663,31.54377393,24.34009333
107741.761,183332.057,69.413,40893.16,17.33694391,8.575437123,29.98952596,16.96976663,31.74377393,24.24009333
107741.908,183331.819,69.413,40893.25,17.13694391,8.375437123,29.78952596,16.66976663,31.94377393,23.94009333
107742.045,183331.598,69.423,40893.36,16.93694391,8.375437123,29.38952596,16.36976663,31.84377393,23.84009333
107742.222,183331.317,69.434,40893.47,16.73694391,8.375437123,28.98952596,16.36976663,31.64377393,23.74009333
107742.357,183331.104,69.44,40893.57,16.63694391,8.475437123,28.98952596,16.36976663,31.44377393,23.74009333
107742.509,183330.866,69.449,40893.68,16.53694391,8.375437123,28.98952596,16.16976663,31.34377393,23.84009333
107742.643,183330.659,69.458,40893.77,16.43694391,8.175437123,28.78952596,15.86976663,31.64377393,23.94009333
107742.747,183330.498,69.468,40893.84,16.13694391,7.875437123,28.48952596,15.86976663,32.14377393,23.84009333
107743.004,183330.106,69.489,40894.01,15.83694391,7.675437123,28.08952596,15.16976663,32.74377393,23.54009333
107743.149,183329.889,69.489,40894.11,15.73694391,7.675437123,28.08952596,15.06976663,33.14377393,23.34009333
107743.304,183329.655,69.5,40894.2,15.83694391,7.675437123,27.88952596,14.86976663,33.64377393,23.34009333
