x,y,z,t,ID,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,x_query,y_query,pH_H2O_10cm,bd_10cm_23,por_10cm,CEC_10cm,clay_10cm,silt_10cm ,sand_10cm,TOC_10cm ,pH_H2O_50cm,CEC_50cm,clay_50cm,silt_50cm,sand_50cm,TOC_50cm,vmc_hydra,EC_bulk_hydra,EC_water_hydra,vwc_10cm,bd_10cm,vwc_50cm,bd_50cm
107720.7017,183327.3371,26.18026214,37032.18,1,33.77302579,24.00524951,51.57274128,38.05402782,49.13122603,47.2988227,0.869956201,0.927208211,0.876843675,1.004363514,1.286080401,-0.048751568,107720.118,183326.96,6.6,1.54,0.42,15.16,22.84,42.132,35.028,19.3,6.86,28.088,54.928,34.73,10.343,0,51.4,182,385,26.64165103,1.574437091,29.31754875,1.462697589
107755.8269,183331.1151,27.08815406,38711.59,2,16.16460581,8.245646717,33.95666446,16.50133097,42.66924412,30.08193136,0.875789114,0.933674321,0.871625814,1.010260759,1.265748459,0.062682274,107755.589,183331.1,6.36,1.54,0.42,6.33,10.27,50.16,39.569,12.2,6.77,7.12,14.82,52.238,32.942,0,48,65,154,26.2807507,1.606522728,NaN,NaN
107797.934,183278.8029,28.583925,38926.65,3,47.12428703,21.3695415,86.03569463,45.4778524,100.0536314,78.60578721,0.873670101,0.951913463,0.914839559,0.999019081,1.610093845,-0.020159892,107797.402,183278.579,6.6,1.51,0.43,9.75,14.066,45.87,40.063,17.2,7.37,21.549,37.307,28.79,33.903,0,56.5,73,133,33.52733166,1.382636286,NaN,NaN
107763.3205,183317.9273,27.38351733,38628.34,4,14.10703208,7.354137283,30.26745754,13.7005868,40.45634255,24.54902456,0.877765771,0.944872887,0.873405305,1.030260759,1.284007698,0.001753025,107763.816,183318.112,6.33,1.55,0.41,5.8,11.237,47.195,41.568,12.8,6.79,6.41,14.739,45.399,39.861,0,51.6,42,89,30.45002103,1.453122828,NaN,NaN
107722.9292,183309.2084,26.80186046,35983.735,5,38.46388713,25.60466012,57.65398265,43.54254436,51.88080187,54.26254004,0.878388756,0.94231714,0.858033909,1.002766659,1.26595391,-0.099623964,107723.005,183309.182,6.6,1.33,0.5,16.57,26.081,39.904,34.015,23,7.13,32.962,60.946,33.328,5.725,0,56.6,130,236,34.51622248,1.406471331,NaN,NaN
107742.6066,183329.8573,26.48269801,38088.18,6,30.5802835,17.69419632,53.30390305,33.11248811,55.67226945,49.87164358,0.875402269,0.930600284,0.870185502,0.997207366,1.267611915,-0.092855038,107742.651,183330.207,6.5,1.53,0.42,9.941,15.97,45.215,38.815,16.8,6.99,14.162,26.589,43.811,29.6,0,53.6,70,139,33.73107614,1.365829524,48.08610364,1.173519424
107806.0443,183273.8731,28.71270059,39124.78,7,40.87512229,18.17380738,78.07021351,36.17640136,100.3855494,68.50954027,0.884960918,0.943235304,0.932688092,1.010879538,1.652483118,-0.258564086,107805.822,183273.987,6.56,1.64,0.38,9.868,15.173,44.224,40.602,17.8,7.32,7.422,14.696,28.668,56.637,0,47.8,76,181,30.11981053,1.462290152,NaN,NaN
107759.2968,183312.8793,26.6733248,38232.815,8,18.19225632,10.07809874,34.41809088,16.60234745,43.6203253,25.54686417,0.874338414,0.936008249,0.873204181,1.004372234,1.311632187,-0.062933544,107758.685,183312.601,7.23,1.46,0.45,6.785,12.324,45.037,42.639,15.5,6.33,7.612,16.873,46.152,36.975,0,46.3,51,128,34.63788741,1.288314701,19.43796712,1.703594511
107776.717,183310.7214,27.4988,38956.285,9,33.32738735,16.06969974,62.76523504,34.28350934,71.97913978,59.24337982,0.871381565,0.930681776,0.872116218,0.990514742,1.362045715,0.065980519,107776.692,183310.756,6.56,1.45,0.45,6.147,11.631,49.871,38.498,12.5,7.24,8.751,18.018,45.765,36.217,0,44.4,44,118,31.79564561,1.41757398,34.69276357,1.306241914
107725.618,183318.3129,26.57,36902.59,10,41.79285323,29.56156514,62.20180842,47.9574631,55.79056155,60.67897126,0.869793953,0.931988139,0.866785235,1.011944364,1.278036233,0.044421007,107726.371,183318.719,6.56,1.61,0.39,15.774,25.914,38.833,35.253,25.9,7.19,33.2,64.061,30.681,5.259,5.4,56,107,198,36.2651713,1.326002591,NaN,NaN
