x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,pos
107741.0847,183334.8013,26.24514651,38100.41,28.05514724,15.29830306,50.8324048,30.10482045,53.24321109,47.1333371,0.875508142,0.929908293,0.860953349,1.000175811,1.257586774,0.038638618,6.441672795
107741.2896,183334.4438,26.28778903,38100.54,28.55514724,15.69830306,51.0324048,30.80482045,52.74321109,47.4333371,0.875508142,0.929908293,0.850953349,0.990175811,1.267586774,0.048638618,6.853693723
107741.4441,183334.1826,26.28778903,38100.64,28.55514724,16.09830306,51.1324048,31.50482045,52.44321109,47.7333371,0.875508142,0.929908293,0.850953349,0.990175811,1.267586774,0.058638618,7.157151502
107741.6123,183333.9053,26.30704725,38100.74,28.95514724,16.09830306,51.3324048,32.10482045,52.34321109,48.2333371,0.875508142,0.929908293,0.860953349,1.000175811,1.257586774,0.048638618,7.48146801
107741.8025,183333.5985,26.32429654,38100.84,29.25514724,16.49830306,51.8324048,32.60482045,52.44321109,48.9333371,0.875508142,0.929908293,0.860953349,1.000175811,1.247586774,0.028638618,7.842468204
107741.9985,183333.2887,26.33307252,38100.95,29.65514724,16.39830306,52.6324048,32.70482045,52.64321109,49.9333371,0.875508142,0.929908293,0.860953349,0.990175811,1.247586774,-0.021361382,8.209021433
107742.1543,183333.0465,26.34011801,38101.04,29.65514724,16.39830306,53.1324048,32.60482045,53.04321109,49.9333371,0.875508142,0.929908293,0.860953349,0.990175811,1.247586774,-0.021361382,8.497024697
107742.3004,183332.821,26.3467795,38101.13,29.65514724,16.39830306,53.2324048,32.40482045,53.34321109,50.0333371,0.875508142,0.929908293,0.860953349,0.990175811,1.237586774,-0.061361382,8.765721107
107742.4589,183332.5787,26.3467795,38101.23,29.65514724,16.39830306,52.9324048,32.40482045,53.54321109,50.1333371,0.875508142,0.939908293,0.870953349,0.990175811,1.247586774,-0.061361382,9.05524951
107742.6913,183332.2269,26.35440347,38101.34,29.85514724,16.79830306,52.5324048,32.50482045,53.44321109,50.0333371,0.875508142,0.939908293,0.870953349,1.000175811,1.257586774,-0.071361382,9.476893614
107742.8523,183331.9855,26.36929559,38101.44,29.85514724,16.89830306,52.1324048,32.60482045,53.14321109,49.7333371,0.875508142,0.939908293,0.870953349,1.000175811,1.267586774,-0.111361382,9.767041975
107743.0684,183331.6638,26.38186268,38101.56,29.75514724,16.59830306,51.8324048,32.40482045,53.14321109,49.7333371,0.875508142,0.939908293,0.870953349,1.000175811,1.267586774,-0.111361382,10.15460981
107743.2477,183331.3985,26.39718352,38101.65,29.75514724,16.19830306,51.5324048,32.00482045,53.14321109,49.4333371,0.875508142,0.939908293,0.870953349,1.000175811,1.267586774,-0.131361382,10.47475097
107744.0321,183330.2499,26.45771947,38102.09,29.05514724,15.89830306,51.2324048,31.60482045,53.04321109,49.3333371,0.875508142,0.939908293,0.870953349,1.000175811,1.277586774,-0.121361382,11.86566661
107744.8642,183329.0316,26.49139354,38102.53,28.55514724,15.59830306,51.2324048,31.30482045,52.94321109,48.0333371,0.875508142,0.929908293,0.870953349,1.000175811,1.287586774,0.038638618,13.34107593
107744.9025,183328.9748,26.49139354,38102.55,28.55514724,15.59830306,51.0324048,31.00482045,53.14321109,48.0333371,0.875508142,0.929908293,0.870953349,1.000175811,1.267586774,0.038638618,13.40953368
107744.9599,183328.8897,26.49881839,38102.58,28.55514724,15.59830306,50.6324048,30.80482045,53.14321109,48.1333371,0.875508142,0.929908293,0.870953349,1.000175811,1.267586774,0.068638618,13.51217919
107745.0172,183328.8047,26.49881839,38102.61,28.55514724,15.59830306,50.3324048,30.60482045,53.54321109,48.1333371,0.875508142,0.929908293,0.870953349,1.000175811,1.247586774,0.068638618,13.61468987
107745.0934,183328.6915,26.50632573,38102.65,28.55514724,15.39830306,50.5324048,30.60482045,53.94321109,48.1333371,0.875508142,0.929908293,0.870953349,0.990175811,1.237586774,0.068638618,13.75118261
107745.1692,183328.5784,26.50632573,38102.69,28.15514724,15.39830306,50.8324048,30.60482045,53.94321109,48.1333371,0.875508142,0.929908293,0.860953349,0.990175811,1.237586774,0.038638618,13.8873376
107745.2729,183328.4227,26.515392,38102.74,27.95514724,15.29830306,51.3324048,30.40482045,54.54321109,48.0333371,0.865508142,0.929908293,0.860953349,0.990175811,1.247586774,0.018638618,14.07442788
107745.3904,183328.2455,26.515392,38102.79,28.15514724,15.19830306,51.6324048,30.70482045,54.94321109,47.6333371,0.865508142,0.929908293,0.860953349,0.990175811,1.237586774,0.028638618,14.28705304
107745.5145,183328.0578,26.52405811,38102.84,28.95514724,15.69830306,51.7324048,31.10482045,54.74321109,47.6333371,0.875508142,0.929908293,0.860953349,0.990175811,1.237586774,0.028638618,14.5120241
107745.6618,183327.8343,26.53449178,38102.9,29.25514724,16.29830306,51.4324048,31.70482045,53.94321109,47.2333371,0.875508142,0.929908293,0.860953349,0.990175811,1.247586774,0.058638618,14.77971508
107745.9039,183327.4662,26.54736154,38103.02,30.65514724,18.09830306,51.0324048,32.80482045,51.74321109,47.9333371,0.875508142,0.929908293,0.870953349,0.990175811,1.287586774,0.088638618,15.22028235
107745.9738,183327.3598,26.56174003,38103.08,30.65514724,18.09830306,51.2324048,34.10482045,51.74321109,47.9333371,0.875508142,0.929908293,0.860953349,0.990175811,1.287586774,0.088638618,15.34757694
107745.9938,183327.3293,26.56174003,38103.15,30.65514724,18.09830306,51.9324048,34.10482045,51.74321109,49.2333371,0.875508142,0.929908293,0.860953349,0.990175811,1.287586774,0.028638618,15.38405255
107746.1284,183327.1227,26.56174003,38103.22,31.25514724,18.59830306,52.6324048,35.30482045,51.24321109,49.2333371,0.865508142,0.929908293,0.860953349,0.990175811,1.287586774,0.028638618,15.63063477
107746.3097,183326.8439,26.57376307,38103.31,31.65514724,18.59830306,53.3324048,35.80482045,51.24321109,51.3333371,0.875508142,0.929908293,0.860953349,0.990175811,1.307586774,-0.031361382,15.96322382
