x,y,z,t,PRP0.6,PRP0.6_inph,PRP1.1,PRP1.1_inph,PRP2.1,PRP2.1_inph,HCP0.5,HCP0.5_inph,HCP1.0,HCP1.0_inph,HCP2.0,HCP2.0_inph,pos
107738.4337,183343.3114,25.50235409,42870.48367,14.06926737,1.011554559,29.7370775,0.630161087,48.13258582,-0.843036139,30.74760449,0.872354997,49.92455942,0.862498283,52.24816639,1.197072365,0
107739.4825,183340.6785,25.56157811,42871.48609,15.46926737,0.961554559,29.03763179,0.520340735,47.73317315,-1.302936914,30.04760449,0.882354997,50.02518107,0.872498283,54.84889272,1.21708059,2.834103712
107739.5249,183340.37,25.56687865,42871.6885,17.16926737,0.951554559,29.43763179,0.540340735,47.03317315,-1.262936914,31.04760449,0.882354997,48.62518107,0.892498283,54.84889272,1.21708059,3.145503792
107739.6379,183339.6885,25.56395696,42871.88069,15.66926737,0.971554559,29.53763179,0.560340735,47.13317315,-1.362936914,30.84760449,0.882354997,48.42518107,0.902498283,53.44889272,1.18708059,3.836308577
107739.7154,183339.1479,25.57543068,42872.18309,13.76926737,0.991554559,30.03763179,0.520340735,47.43317315,-1.392936914,30.34760449,0.882354997,49.72518107,0.862498283,51.74889272,1.22708059,4.382435494
107739.7905,183338.7927,25.57059258,42872.2863,13.56926737,0.991554559,29.53763179,0.540340735,47.53317315,-1.332936914,30.24760449,0.882354997,49.62518107,0.852498283,51.54889272,1.24708059,4.745487901
107739.9197,183338.1754,25.59439896,42872.488,13.16926737,1.001554559,28.53763179,0.580340735,47.33317315,-1.242936914,29.64760449,0.882354997,48.92518107,0.852498283,51.84889272,1.22708059,5.376163673
107739.9238,183338.1583,25.59439896,42872.58716,12.86926737,1.001554559,28.03763179,0.590340735,46.83317315,-1.122936914,29.24760449,0.882354997,48.92518107,0.852498283,52.44889272,1.18708059,5.393748326
107740.1711,183337.2103,25.63669303,42872.96534,12.06926737,1.001554559,26.03763179,0.620340735,45.33317315,-0.912936914,28.34760449,0.872354997,47.82518107,0.852498283,52.54889272,1.15708059,6.373473435
107740.2316,183337.0078,25.64253014,42873.06761,12.16926737,1.001554559,25.83763179,0.620340735,44.93317315,-0.892936914,28.14760449,0.882354997,47.52518107,0.852498283,52.74889272,1.16708059,6.58481794
107740.2975,183336.7885,25.64253014,42873.17875,12.16926737,1.001554559,25.73763179,0.620340735,44.53317315,-0.892936914,27.94760449,0.882354997,47.02518107,0.862498283,53.04889272,1.16708059,6.813805495
