x,y,z,t,ID,PRP0.6,PRP1.1,PRP2.1,HCP0.5,HCP1.0,HCP2.0,PRP0.6_inph,PRP1.1_inph,PRP2.1_inph,HCP0.5_inph,HCP1.0_inph,HCP2.0_inph,x_query,y_query,pH_H2O_10cm,CEC_10cm,clay_10cm,silt_10cm ,sand_10cm,TOC_10cm ,bd_10cm,pH_H2O_50cm,CEC_50cm,clay_50cm,silt_50cm,sand_50cm,TOC_50cm,bd_50cm,vmc_hydra,EC_bulk_hydra,EC_water_hydra,gwc_10cm,gwc_50cm,vwc_10cm,vwc_50cm
107720.9675,183327.3515,25.34451048,42208.32926,1,15.49964153,28.80740353,40.54445612,29.48224401,45.24811492,45.95834549,0.990939793,0.569660475,-1.154480476,0.879575033,0.858462333,1.182371463,107720.118,183326.96,6.6,15.16,22.84,42.132,35.028,19.3,1.574437091,6.86,28.088,54.928,34.73,10.343,0,1.462697589,51.4,182,385,0.173326134,0.25,0,0
107755.85,183331.3405,26.15241171,43369.87702,2,6.863473181,14.38875389,28.12906083,17.74860547,31.89306233,41.70482432,0.994131088,0.588497098,-1.050496037,0.881450927,0.867221208,1.208089021,107755.589,183331.1,6.36,6.33,10.27,50.16,39.569,12.2,1.606522728,6.77,7.12,14.82,52.238,32.942,0,NaN,48,65,154,0.148351648,NaN,0,0
107797.3593,183278.6662,27.66600387,43594.24074,3,19.86945229,42.83025452,76.19951036,48.09769705,83.67349417,98.90297191,0.9950169,0.5595895,-1.040830007,0.886195027,0.898177843,1.53252258,107797.402,183278.579,6.6,9.75,14.066,45.87,40.063,17.2,1.382636286,7.37,21.549,37.307,28.79,33.903,0,NaN,56.5,73,133,0.240706886,NaN,0,0
107763.9295,183317.9963,26.53528336,43363.43401,4,6.377525438,11.22841764,21.93637995,15.44884529,27.80221532,38.84883991,0.996393967,0.58880185,-0.979880679,0.881973199,0.864723354,1.202915932,107763.816,183318.112,6.33,5.8,11.237,47.195,41.568,12.8,1.453122828,6.79,6.41,14.739,45.399,39.861,0,NaN,51.6,42,89,0.171146462,NaN,0,0
107722.9139,183309.3954,25.80222486,41847.82377,5,19.61978905,37.04277345,50.58661266,36.59007563,54.74238446,50.18504301,0.993464638,0.678794266,-0.875955926,0.86869394,0.8458747,1.169001279,107723.005,183309.182,6.6,16.57,26.081,39.904,34.015,23,1.406471331,7.13,32.962,60.946,33.328,5.725,0,NaN,56.6,130,236,0.207119741,NaN,0,0
107742.6849,183330.0536,25.90981506,42876.18401,6,12.67007473,27.23763179,45.03317315,28.54760449,47.62518107,52.54889272,1.001554559,0.594269763,-1.002936914,0.882354997,0.852498283,1.195460635,107742.651,183330.207,6.5,9.941,15.97,45.215,38.815,16.8,1.365829524,6.99,14.162,26.589,43.811,29.6,0,1.173519424,53.6,70,139,0.143831723,NaN,0,0
107804.7055,183273.4801,27.86996794,43861.29381,7,16.74790928,36.7871318,69.28584504,41.74700647,74.70743782,93.68212872,0.990972722,0.572708707,-0.973700052,0.889271586,0.916325913,1.526018056,107805.822,183273.987,6.56,9.868,15.173,44.224,40.602,17.8,1.462290152,7.32,7.422,14.696,28.668,56.637,0,NaN,47.8,76,181,0.148282098,0.15,0,0
107758.4328,183312.6508,26.5449498,42968.87472,8,6.572406565,13.3915038,26.19511508,17.56135058,30.48873659,41.35515192,0.998905725,0.577186801,-1.017663935,0.880271268,0.857074586,1.21328253,107758.685,183312.601,7.23,6.785,12.324,45.037,42.639,15.5,1.288314701,6.33,7.612,16.873,46.152,36.975,0,1.703594511,46.3,51,128,0.16460177,0.15,0,0
107776.8428,183310.8583,26.80593567,43613.8401,9,13.07395023,29.49461646,54.81120001,32.73269939,58.24491555,69.02198366,1.003058501,0.550472208,-1.116425257,0.878527035,0.871174412,1.290427548,107776.692,183310.756,6.56,6.147,11.631,49.871,38.498,12.5,1.41757398,7.24,8.751,18.018,45.765,36.217,0,1.306241914,44.4,44,118,0.192450495,NaN,0,0
107725.7679,183318.6329,25.76557386,42204.72978,10,20.05391143,38.10740353,52.34445612,37.33224401,55.99854258,53.06828935,0.998086474,0.590831071,-1.007808945,0.879572905,0.848462333,1.197273744,107726.371,183318.719,6.56,15.774,25.914,38.833,35.253,25.9,1.326002591,7.19,33.2,64.061,30.681,5.259,5.4,NaN,56,107,198,0.196032672,NaN,0,0
