ID,depth_m,EC_msm
1,0,34.58399366
1,0.05,32.57089552
1,0.1,36.12996689
1,0.15,39.74954463
1,0.2,49.26072235
1,0.25,97.421875
1,0.3,130.0506555
1,0.35,142.0735677
1,0.4,140.3376206
1,0.45,114.2539267
1,0.5,86.94223108
1,0.55,84.91245136
1,0.6,85.57843137
1,0.65,79.06702899
2,0,9.613436123
2,0.05,10.49158654
2,0.1,11.6697861
2,0.15,11.60771277
2,0.2,13.42923077
2,0.25,17.65574434
2,0.3,25.14112903
2,0.35,31.26432665
2,0.4,34.97195513
2,0.45,38.41989437
2,0.5,39.96794872
2,0.55,41.96634615
2,0.6,43.99697581
2,0.65,43.38469185
2,0.7,46.6292735
2,0.75,47.54357298
2,0.8,44.90226337
3,0,21.20748299
3,0.05,23.74591948
3,0.1,26.01013111
3,0.15,30.43584379
3,0.2,36.92470389
3,0.25,42.53898635
3,0.3,56.68181818
3,0.35,95.7127193
3,0.4,64.75519288
3,0.45,75.25
3,0.5,117.3252688
3,0.55,156.883537
3,0.6,181.5515807
3,0.65,184.1561181
4,0,8.203947368
4,0.05,8.112453532
4,0.1,8.729
4,0.15,10.29363208
4,0.2,14.30983607
4,0.25,19.36335404
4,0.3,19.67763751
4,0.35,18.1400665
4,0.4,18.06498344
4,0.45,16.16481481
4,0.5,13.3716299
4,0.55,15.76770231
4,0.6,23.74591948
4,0.65,32.9147813
7,0,15.2179219
7,0.05,17.5
7,0.1,18.6517094
7,0.15,19.64221422
7,0.2,21.91014056
7,0.25,25.17012687
7,0.3,30.30902778
7,0.35,28.56348168
7,0.4,25.70376914
7,0.45,29.85294118
7,0.5,39.24910072
7,0.55,50.16666667
7,0.6,78.49820144
7,0.65,167.4788949
8,0,10.29363208
8,0.05,10.34241706
8,0.1,9.655973451
8,0.15,13.24180825
8,0.2,18.36910774
8,0.25,32.47395833
8,0.3,37.11309524
8,0.35,37.43138937
8,0.4,39.67727273
8,0.45,66.94018405
8,0.5,41.72562141
8,0.55,42.78921569
8,0.6,43.04240631
8,0.65,45.84558824
9,0,11.24871134
9,0.05,14.6952862
9,0.1,16.85135135
9,0.15,19.17618629
9,0.2,23.7201087
9,0.25,33.57307692
9,0.3,40.86610487
9,0.35,46.23411017
9,0.4,59.46185286
9,0.45,89.80452675
9,0.5,137.4212846
9,0.55,137.9424779
9,0.6,137.681388
9,0.65,133.0640244
11,0,10.64512195
11,0.05,10.49158654
11,0.1,10.34241706
11,0.15,15.37878788
11,0.2,10.44138756
11,0.25,15.2498253
11,0.3,18.1400665
11,0.35,20.92281879
11,0.4,21.88816449
11,0.45,22.66095535
11,0.5,23.74591948
11,0.55,24.03359031
11,0.6,23.95444566
11,0.65,24.79829545
12,0,15.1755911
12,0.05,15.99890029
12,0.1,17.97570016
12,0.15,20.94289827
12,0.2,23.74591948
12,0.25,31.81122449
12,0.3,44.8100616
12,0.35,50.75
12,0.4,50.5150463
12,0.45,48.49444444
12,0.5,49.48412698
12,0.55,61.12745098
12,0.6,92.46822034
12,0.65,142.444517
13,0,18.87759516
13,0.05,17.93138866
13,0.1,23.01951477
13,0.15,28.90397351
13,0.2,37.68998273
13,0.25,75.77256944
13,0.3,96.98888889
13,0.35,137.2484277
13,0.4,162.8544776
13,0.45,165.3219697
13,0.5,169.1666667
13,0.55,168.3834877
13,0.6,157.4494949
13,0.65,153.8963329
15,0,19.8928897
15,0.05,21.69234592
15,0.1,27.9775641
15,0.15,33.57307692
15,0.2,38.62389381
15,0.25,56.53497409
15,0.3,67.5619195
15,0.35,90.17561983
15,0.4,74.73458904
15,0.45,53.48651961
15,0.5,44.62678937
15,0.55,57.12696335
15,0.6,74.47952218
15,0.65,116.697861
