,x,y,z,t,PRP2.1,PRP2.1_inph,HCP2.0,HCP2.0_inph,PRP1.1,PRP1.1_inph,HCP1.0,HCP1.0_inph,PRP0.6,PRP0.6_inph,HCP0.5,HCP0.5_inph,x_query,y_query,z_query,pos
0,107738.7293,183343.4668,25.4916182,44249.89689,46.07578896,-0.01559443,49.23242127,1.228933507,28.47574133,0.790821321,45.75542585,0.911464967,14.30163434,0.909706309,22.57254507,0.833385589,107738.4337,183343.3114,25.50235409,0.0
1,107739.5602,183340.6255,25.58177155,44236.41537,47.9814387,-0.500901605,52.31907156,1.21990794,28.89780535,0.728814465,49.03670605,0.882176629,14.43359925,0.929749315,23.51535404,0.833685082,107739.4825,183340.6785,25.56157811,2.834103712
2,107739.7334,183340.365,25.58659003,44236.3103,48.5814387,-0.590901605,52.31907156,1.21990794,29.19780535,0.708814465,49.63670605,0.882176629,14.23359925,0.919749315,23.81535404,0.843685082,107739.5249,183340.37,25.56687865,3.145503792
3,107740.0902,183339.8371,25.59201027,44236.09776,48.4814387,-0.620901605,51.41907156,1.20990794,29.59780535,0.708814465,49.23670605,0.892176629,14.23359925,0.919749315,23.81535404,0.843685082,107739.6379,183339.6885,25.56395696,3.836308577
4,107739.4477,183338.8621,25.54259101,44152.5168,52.92398747,-0.985306441,53.74217164,1.184161793,35.80123348,0.656992174,54.011175,0.882628055,17.2435046,0.912470617,28.06366681,0.840637929,107739.7154,183339.1479,25.57543068,4.382435494
5,107739.6063,183338.6518,25.55014948,44152.6132,53.12398747,-0.905306441,53.54217164,1.164161793,35.30123348,0.676992174,53.911175,0.882628055,17.2435046,0.922470617,27.96366681,0.840637929,107739.7905,183338.7927,25.57059258,4.745487901
6,107739.9291,183338.2212,25.55786729,44152.80063,53.32398747,-0.755306441,53.94217164,1.154161793,34.60123348,0.726992174,53.311175,0.882628055,16.9435046,0.922470617,27.26366681,0.840637929,107739.9197,183338.1754,25.59439896,5.376163673
7,107739.9291,183338.2212,25.55786729,44152.80063,53.32398747,-0.755306441,53.94217164,1.154161793,34.60123348,0.726992174,53.311175,0.882628055,16.9435046,0.922470617,27.26366681,0.840637929,107739.9238,183338.1583,25.59439896,5.393748326
8,107740.58,183337.3328,25.59645735,44153.20203,51.52398747,-0.895306441,54.54217164,1.164161793,32.10123348,0.676992174,51.911175,0.882628055,15.6435046,0.912470617,26.06366681,0.840637929,107740.1711,183337.2103,25.63669303,6.373473435
9,107740.58,183337.3328,25.59645735,44153.20203,51.52398747,-0.895306441,54.54217164,1.164161793,32.10123348,0.676992174,51.911175,0.882628055,15.6435046,0.912470617,26.06366681,0.840637929,107740.2316,183337.0078,25.64253014,6.58481794
