x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635517.6872,5692646.171,26.11402368,125130.83,5.317220878,4.163400725,18.62366751,7.997368788,33.49618895,15.79281631,0.0372286,0.233245608,0.536022184,0.351803357,0.464153992,-1.850392529,1,110,POINT (635517.6872 5692646.171),0.0
635517.041,5692646.102,26.1252,125131.03,5.217220878,4.363400725,18.42366751,7.797368788,33.19618895,15.69281631,0.0372286,0.253245608,0.556022184,0.341803357,0.404153992,-1.870392529,1,110,POINT (635517.041 5692646.102),0.6498734031457535
635516.6643,5692646.059,26.1332,125131.15,5.217220878,4.363400725,18.42366751,7.797368788,32.09618895,16.89281631,0.0372286,0.253245608,0.556022184,0.341803357,0.034153992,-1.650392529,1,110,POINT (635516.6643 5692646.059),1.0290196677750911
635515.9822,5692645.981,26.14265344,125131.36,5.217220878,4.263400725,18.52366751,8.197368788,32.09618895,16.99281631,0.0272286,0.243245608,0.546022184,0.351803357,0.084153992,-1.090392529,1,110,POINT (635515.9822 5692645.981),1.7155649394604313
635515.1969,5692645.89,26.15044624,125131.63,4.917220878,4.263400725,17.32366751,7.997368788,33.19618895,15.69281631,0.0272286,0.243245608,0.526022184,0.311803357,0.534153992,-0.670392529,1,110,POINT (635515.1969 5692645.89),2.506119864803931
635514.576,5692645.82,26.15827696,125131.83,5.017220878,4.463400725,18.22366751,7.297368788,33.39618895,15.19281631,0.0372286,0.203245608,0.596022184,0.241803357,0.564153992,-0.640392529,1,110,POINT (635514.576 5692645.82),3.1309532905154223
635513.8616,5692645.739,26.16,125132.05,5.217220878,4.563400725,18.82366751,7.397368788,33.49618895,15.09281631,0.0372286,0.183245608,0.536022184,0.251803357,0.514153992,-1.090392529,1,110,POINT (635513.8616 5692645.739),3.8499305920470253
635513.4733,5692645.694,26.16,125132.16,5.317220878,4.363400725,18.82366751,7.397368788,33.79618895,15.29281631,0.0372286,0.193245608,0.536022184,0.251803357,0.544153992,-1.420392529,1,110,POINT (635513.4733 5692645.694),4.240829415256613
635512.8545,5692645.622,26.16,125132.36,4.817220878,4.163400725,18.92366751,7.497368788,33.79618895,15.59281631,0.0272286,0.213245608,0.486022184,0.311803357,0.414153992,-1.580392529,1,110,POINT (635512.8545 5692645.622),4.8638040855921805
635512.021,5692645.523,26.16,125132.62,4.717220878,4.163400725,18.82366751,7.397368788,33.49618895,16.59281631,0.0372286,0.223245608,0.556022184,0.341803357,-0.095846008,-0.930392529,1,110,POINT (635512.021 5692645.523),5.70316291838565
